Source Name	Characteristics[organism]	Characteristics[growth condition]	Material Type	Protocol REF	Protocol REF	Extract Name	Protocol REF	Labeled Extract Name	Label	Assay Name	Technology Type	Array Design REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Factor Value[growth condition]
Acetate 1	Escherichia coli K-12	Acetate	cell	P-MTAB-43790	P-MTAB-43791	Acetate 1	P-MTAB-43792	Acetate 1:Alexa Fluor 555 	Alexa Fluor 555 	US83800207_252009710403_S01_GE1_1010_Sep10_2_4	array assay	A-MEXP-2232	ArrayExpress	US83800207_252009710403_S01_GE1_1010_Sep10_2_4.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3392/E-MTAB-3392.raw.1.zip	Acetate
Acetate 2	Escherichia coli K-12	Acetate	cell	P-MTAB-43790	P-MTAB-43791	Acetate 2	P-MTAB-43792	Acetate 2:Alexa Fluor 555 	Alexa Fluor 555 	US83800207_252009710441_S01_GE1_1010_Sep10_1_1	array assay	A-MEXP-2232	ArrayExpress	US83800207_252009710441_S01_GE1_1010_Sep10_1_1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3392/E-MTAB-3392.raw.1.zip	Acetate
Acetate 3	Escherichia coli K-12	Acetate	cell	P-MTAB-43790	P-MTAB-43791	Acetate 3	P-MTAB-43792	Acetate 3:Alexa Fluor 555 	Alexa Fluor 555 	US83800207_252009710441_S01_GE1_1010_Sep10_1_2	array assay	A-MEXP-2232	ArrayExpress	US83800207_252009710441_S01_GE1_1010_Sep10_1_2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3392/E-MTAB-3392.raw.1.zip	Acetate
Frucotse 2	Escherichia coli K-12	Fructose	cell	P-MTAB-43790	P-MTAB-43791	Frucotse 2	P-MTAB-43792	Frucotse 2:Alexa Fluor 555 	Alexa Fluor 555 	US83800207_252009710441_S01_GE1_1010_Sep10_1_4	array assay	A-MEXP-2232	ArrayExpress	US83800207_252009710441_S01_GE1_1010_Sep10_1_4.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3392/E-MTAB-3392.raw.1.zip	Fructose
Frucotse 3	Escherichia coli K-12	Fructose	cell	P-MTAB-43790	P-MTAB-43791	Frucotse 3	P-MTAB-43792	Frucotse 3:Alexa Fluor 555 	Alexa Fluor 555 	US83800207_252009710441_S01_GE1_1010_Sep10_2_1	array assay	A-MEXP-2232	ArrayExpress	US83800207_252009710441_S01_GE1_1010_Sep10_2_1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3392/E-MTAB-3392.raw.1.zip	Fructose
Fructose 1	Escherichia coli K-12	Fructose	cell	P-MTAB-43790	P-MTAB-43791	Fructose 1	P-MTAB-43792	Fructose 1:Alexa Fluor 555 	Alexa Fluor 555 	US83800207_252009710441_S01_GE1_1010_Sep10_1_3	array assay	A-MEXP-2232	ArrayExpress	US83800207_252009710441_S01_GE1_1010_Sep10_1_3.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3392/E-MTAB-3392.raw.1.zip	Fructose
Galactose 1	Escherichia coli K-12	Galactose	cell	P-MTAB-43790	P-MTAB-43791	Galactose 1	P-MTAB-43792	Galactose 1:Alexa Fluor 555 	Alexa Fluor 555 	US83800207_252009710403_S01_GE1_1010_Sep10_2_1	array assay	A-MEXP-2232	ArrayExpress	US83800207_252009710403_S01_GE1_1010_Sep10_2_1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3392/E-MTAB-3392.raw.1.zip	Galactose
Galactose 2	Escherichia coli K-12	Galactose	cell	P-MTAB-43790	P-MTAB-43791	Galactose 2	P-MTAB-43792	Galactose 2:Alexa Fluor 555 	Alexa Fluor 555 	US83800207_252009710403_S01_GE1_1010_Sep10_2_2	array assay	A-MEXP-2232	ArrayExpress	US83800207_252009710403_S01_GE1_1010_Sep10_2_2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3392/E-MTAB-3392.raw.1.zip	Galactose
Galactose 3	Escherichia coli K-12	Galactose	cell	P-MTAB-43790	P-MTAB-43791	Galactose 3	P-MTAB-43792	Galactose 3:Alexa Fluor 555 	Alexa Fluor 555 	US83800207_252009710403_S01_GE1_1010_Sep10_2_3	array assay	A-MEXP-2232	ArrayExpress	US83800207_252009710403_S01_GE1_1010_Sep10_2_3.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3392/E-MTAB-3392.raw.1.zip	Galactose
Gluconate 1	Escherichia coli K-12	Gluconate	cell	P-MTAB-43790	P-MTAB-43791	Gluconate 1	P-MTAB-43792	Gluconate 1:Alexa Fluor 555 	Alexa Fluor 555 	US83800207_252009710403_S01_GE1_1010_Sep10_1_2	array assay	A-MEXP-2232	ArrayExpress	US83800207_252009710403_S01_GE1_1010_Sep10_1_2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3392/E-MTAB-3392.raw.1.zip	Gluconate
