"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"	"Ensembl"
"204567_s_at"	0.0611937176799921	1.11922666081376e-06	-6.80267450045066	5.53173999732942	-1.00463053386667	"ABCG1"	"ATP binding cassette subfamily G member 1"	"ENSG00000160179"
"220669_at"	0.464275299364276	2.08915268872011e-05	5.48137924264589	2.88015539921574	0.406432008833335	"OTUD4"	"OTU deubiquitinase 4"	"ENSG00000164164"
"214252_s_at"	0.464275299364276	4.25623461664488e-05	5.17276665370279	2.22768802425437	0.581714240733334	"CLN5"	"ceroid-lipofuscinosis, neuronal 5"	"ENSG00000102805"
"210594_x_at"	0.464275299364276	4.78920981212809e-05	5.12195805816118	2.11931520431345	0.891222461166667	"MPZL1"	"myelin protein zero like 1"	"ENSG00000197965"
"214156_at"	0.464275299364276	5.14544957542618e-05	-5.0911048770933	2.05338621741266	-1.21910417063334	"MYRIP"	"myosin VIIA and Rab interacting protein"	"ENSG00000170011"
"201507_at"	0.464275299364276	6.51426487584993e-05	-4.98989737279021	1.83651226714282	-0.706684875633334	"PFDN1"	"prefoldin subunit 1"	"ENSG00000113068"
"202308_at"	0.464275299364276	7.60662800511776e-05	-4.92356088626391	1.69388611523614	-0.95605948755	"SREBF1"	"sterol regulatory element binding transcription factor 1"	"ENSG00000072310"
"212082_s_at"	0.464275299364276	8.49154639898081e-05	4.87654939319609	1.59259705264848	0.568670399999997	"MYL6"	"myosin light chain 6"	"ENSG00000092841"
"222132_s_at"	0.504578380818836	0.000107020332690802	-4.77791662179227	1.37955881391825	-0.592790230083335	"AGK"	"acylglycerol kinase"	"ENSG00000262327"
"203504_s_at"	0.504578380818836	0.000110744226242817	-4.76335641011419	1.34805346945539	-0.680384572300002	"ABCA1"	"ATP binding cassette subfamily A member 1"	"ENSG00000165029"
"204150_at"	0.506082429005193	0.00012720769717796	4.70441034591441	1.22036933320536	0.475406630649998	"STAB1"	"stabilin 1"	"ENSG00000010327"
"221627_at"	0.506082429005193	0.00012958672164742	4.69653598015319	1.20329661628735	0.588430396649997	"TRIM10"	"tripartite motif containing 10"	"ENSG00000204613"
"227140_at"	0.537220224932793	0.000162308727035667	4.60095963834475	0.995802067463105	0.881838138733332	"INHBA"	"inhibin beta A subunit"	"ENSG00000122641"
