ID,Flux
PFK,-0.238412797509227
PFL,-0.276963206216243
PGI,0.118340930406703
PGK,0.202855486201975
PGL,-1.6640114587247
ACALD,0.0918687989794099
AKGt2r,0.309471905069511
PGM,-0.120641536414041
PIt2r,-0.795486963300493
ALCD2x,0.725138564036926
ACALDt,-0.633269765057516
ACKr,-0.667289211638693
PPC,-0.585798799397838
ACONTa,-0.275210560226697
ACONTb,-0.275210560226697
ATPM,15.9313600301278
PPCK,-0.150231803811039
ACt2r,-0.667289211638693
PPS,-0.266927909533566
ADK1,-0.266927909533566
AKGDH,0.0559504016961942
ATPS4r,0.218415164722357
PTAr,0.667289211638693
PYK,1.06771163813427
BIOMASS_Ecoli_core_w_GAM,-0.216241325278086
PYRt2,-2.34616192653145
CO2t,0.89803832150319
RPE,-0.953906707873242
CS,-0.275210560226697
RPI,0.710104750851453
SUCCt2_2,0.693789346765135
CYTBD,-0.353752280593707
D_LACt2,-0.340050386992489
ENO,0.120641536414041
SUCCt3,0.892266033020028
ETOHt2r,0.725138564036926
SUCDi,-0.137688970251475
SUCOAS,-0.0559504016961942
TALA,-0.515984913149315
THD2,-0.162496901397272
TKT1,-0.515984913149315
TKT2,-0.437921794723927
TPI,0.103585588780539
EX_ac_e,0.667289211638693
EX_acald_e,0.633269765057516
EX_akg_e,-0.309471905069511
EX_co2_e,-0.89803832150319
EX_etoh_e,-0.725138564036926
EX_for_e,-0.276963206216243
EX_fru_e,-0.923819856284863
EX_fum_e,-0.275426909707986
EX_glc__D_e,1.59
EX_gln__L_e,0.237117986439858
EX_glu__L_e,0.0865383390345581
EX_h_e,-2.68300456762956
EX_h2o_e,-0.136921594402506
EX_lac__D_e,0.340050386992489
EX_mal__L_e,-0.648105147700584
EX_nh4_e,0.618346386562072
EX_o2_e,0.176876140296854
EX_pi_e,0.795486963300493
EX_pyr_e,2.34616192653145
EX_succ_e,0.198476686254893
FBA,0.103585588780539
FBP,-0.341998386289766
FORt2,0.203290528721849
FORt,0.0736726774943945
FRD7,0.116879930792493
FRUpts2,0.923819856284863
FUM,0.0208580086640186
FUMt2_2,0.275426909707986
G6PDH2r,-1.6640114587247
GAPD,-0.202855486201975
GLCpts,-1.59
GLNS,-0.0318370284286968
GLNabc,-0.237117986439858
GLUDy,0.538753815490331
GLUN,0.0477555426430436
GLUSy,-0.261417650637992
GLUt2r,-0.0865383390345581
GND,-1.6640114587247
H2Ot,0.136921594402506
ICDHyr,-0.163167943741428
ICL,-0.112042616485269
LDH_D,-0.340050386992489
MALS,-0.112042616485269
MALt2_2,0.648105147700584
MDH,-0.226001940514253
ME1,0.893652677950719
ME2,-0.110730197557132
NADH16,-0.0991833795497398
NADTRHD,-0.147076132426526
NH4t,-0.618346386562072
O2t,-0.176876140296854
PDH,-0.345298796713649
