	Ref	NOX	ATPase
b0001	9.022089998	8.421106916	8.891614818
b0002	13.84767509	14.04923429	13.90248647
b0003	13.48172556	13.68445883	13.3935938
b0004	12.57132988	12.79292951	12.44667734
b0005	8.578102071	8.647135744	8.892248167
b0006	10.50803404	10.57207399	10.62775383
b0007	6.158900225	6.784293001	6.684227991
b0008	12.96915	13.0258947	12.84532056
b0009	9.697827277	9.650438696	9.676272581
b0010	7.889397957	8.47535822	8.531273947
b0011	6.664372165	7.75436721	7.267628439
b0012	4.6226583	6.474447242	5.875278611
b0013	5.79836736	7.372927926	6.950311414
b0014	13.39958907	13.62510377	13.28190893
b0015	11.775228	11.94443637	11.73523916
b0016	12.17673499	12.45973176	12.77623895
b0017	9.450811726	10.95953693	10.73955653
b0019	8.772931006	8.517536712	8.922666143
b0020	11.19663128	11.16120479	11.08422619
b0021	10.892428	11.53665851	11.59448484
b0022	12.15921998	12.38362509	12.44273726
b0023	12.4669336	11.50729759	11.6518196
b0024	3.998738371	4.02664052	4.00128622
b0025	11.08071406	11.00986456	10.76998438
b0026	11.20417219	11.30626887	11.13764481
b0027	11.96522079	12.15005265	11.73396816
b0028	11.08734248	10.83434884	10.93213066
b0029	10.59410964	10.62076591	10.59516581
b0030	7.70810378	9.316701943	8.188251294
b0031	10.87817632	10.30800329	10.55016855
b0032	12.86290871	13.03026046	12.50234375
b0033	12.40096302	12.59451802	12.1061384
b0034	9.939933299	9.848312304	9.986609158
b0035	10.08239182	10.99520015	10.70177321
b0036	9.199904559	10.51373976	9.967501358
b0037	7.836915955	8.75742669	8.582274922
b0038	3.520634307	4.283317145	4.826330791
b0039	7.758806988	8.926975594	8.698151319
b0040	6.629546384	8.739858933	8.406902332
b0041	7.182934155	8.175913926	8.45578788
b0042	8.990452843	10.34778849	9.897596849
b0043	7.416207088	9.505151453	8.267094475
b0044	7.142409748	8.9293653	8.519495026
b0045	9.63046859	10.80292319	10.4966129
b0046	8.357454621	8.354505486	8.611186137
b0047	9.066415551	9.491333221	9.819287515
b0048	9.721786657	9.534362888	9.699109901
b0049	11.3661188	11.35081006	11.69264405
b0050	11.05024826	10.97388142	11.07798055
b0051	10.71749091	10.47925765	10.93764752
b0052	10.80580825	10.53775207	10.7637941
b0053	12.03568151	11.72247165	11.74127529
b0054	11.03335793	10.65149105	10.72018244
b0055	10.00355574	10.06847369	9.999251724
b0056	8.96138292	8.52108959	8.452877207
b0057	9.523843467	8.50735198	8.106570332
b0058	9.92561152	9.995517714	9.93783903
b0059	10.51342048	10.53109853	10.5418064
b0060	9.27314537	9.764226974	9.893051287
b0061	7.007047888	8.53529365	8.161997099
b0062	7.158261328	8.455625395	8.14072964
b0063	7.078053968	9.262118739	8.273998456
b0064	9.368546767	9.586231444	9.613657942
b0065	11.09169637	11.34694454	11.23951466
b0066	7.773036203	7.974417709	8.111693996
b0067	8.562417499	9.883940974	9.407578341
b0068	6.80950334	7.639925566	7.823563363
b0069	5.769840274	6.308389314	6.497222334
b0070	9.534095423	10.11858037	10.0113949
b0071	12.34548837	11.97914903	12.38278501
b0072	13.60312046	13.51442067	13.40104569
b0073	11.28822526	10.88133255	10.35497625
b0074	12.6041237	12.45172574	12.35546476
b0075	10.18656898	9.809903994	9.710998431
b0076	8.123063467	9.164002209	8.537232501
b0077	10.69785652	10.57791015	10.34806014
b0078	10.16014316	9.976046935	10.09790276
b0079	12.22484247	12.16499122	12.1181007
b0080	10.8557767	10.72085917	10.73260322
b0081	11.73128837	11.22463424	11.37194111
b0082	10.93459377	10.43758234	10.56774107
b0083	12.269444	11.86708713	12.05170889
b0084	10.78029794	10.63723186	10.73969764
b0086	10.69571935	10.42243189	10.20554772
b0087	10.91037144	10.91807914	10.81152751
b0088	7.86409363	7.569487628	7.935996952
