,REF,NOX,ATP
R_GLCptspp,9.2,11.7,15.6
R_PGI,4.7,6.8,10.5
R_PFK,7.1,9.6,13.5
R_FBA,7.1,9.6,13.5
R_TPI,7.1,9.6,13.5
R_GAPD,15.3,20.4,28.3
R_PGK,-15.3,-20.4,-28.3
R_PGM,-14.1,-19.3,-27.2
R_ENO,14.1,19.3,27.2
R_PYK,2.4,4.9,9.4
R_G6PDH2r,4.4,4.9,5.1
R_PGL,4.4,4.9,5.1
R_GND,4.4,4.9,5.1
R_RPE,2.4,2.8,3.0
R_RPI,-2.0,-2.1,-2.1
R_TKT1,1.3,1.5,1.6
R_TKT2,1.1,1.3,1.4
R_TALA,1.3,1.5,1.6
R_CS,2.5,5.6,5.1
R_ACONTa,2.5,5.6,5.1
R_ACONTb,2.5,5.6,5.1
R_ICDHyr,2.5,5.6,5.1
R_AKGDH,1.6,4.8,4.3
R_SUCOAS,-1.6,-4.8,-4.3
R_SUCDi,1.6,4.8,4.3
R_FUM,1.6,4.8,4.3
R_MDH,1.6,4.5,4.4
R_PDH,9.5,15.0,23.3
R_ME1,0.0,0.2,0.0
R_PPCK,2.0,1.8,4.8
R_PPC,4.0,4.0,6.5
R_PTAr,5.5,7.9,16.8
R_ACKr,-5.5,-7.9,-16.8
R_NADTRHD,0.7,5.5,6.0
R_Ec_biomass_iAF1260_core_59p81M,0.67,0.63,0.58
R_EX_glc_e_,-9.2,-11.7,-15.6
R_EX_ac_e_,5.52,3.28,16.69
