,REF,NOX,ATP
b3447,0.37552639326096449,0.24412894091820672,0.060397486671304637
b0693,2.819862600804155,1.0717381726746413,2.805952521312022
b4392,0.04984283090870565,0.061150434342683309,0.084588072963509661
b0002,0.20577685470870477,0.33458746806498579,0.040434387155354114
b2874,1.4709636464561326,0.76871726602404222,1.8968879237089502
b2724,0.081050555315745496,0.30660816794312612,0.56006097824164736
b4260,0.33413944123216999,0.24572317367933699,0.32177337019545177
b3114,1.2675115075480166,0.95103899878608822,1.1020420476126831
b2169,0.49715138783260399,0.17230189280485947,0.32805555195900687
b3224,1.7412332906547754,1.7971229290768609,2.2549133464272848
b3063,1.2733093016076122,0.81426221134203736,1.6584197477639409
b2168,0.47140519947538806,0.099036359432917054,0.10504295769587221
b4152,0.64747587963692899,0.47114918551668217,0.69705532910762136
b3575,2.3670704839997287,0.74785683383351953,1.4520815460988779
b0572,1.2777270608779978,0.62725738787254071,1.2535679632533678
b4301,1.1861029344196874,0.61371948100697149,1.2242393113900043
b0008,0.42863736145520781,0.33298621910335241,0.4152150414081342
b0494,0.082983671822181526,0.12330050862041352,0.67356284321087023
b2261,0.23186623020590308,0.17540792521112991,0.45287898503473129
b2676,1.6624341902325421,0.55688595971156885,2.121067632122327
b3182,0.48376382901648318,0.55056184065884439,1.3374876434824641
b4177,0.61479396128307828,0.39892977033752591,0.52417716858666086
b1263,0.31926468422887166,0.33292234729727482,0.21780916180731896
b0431,0.66591454904818559,0.27764563050174557,0.15513457014250784
b3860,0.25528272084586634,0.21894909286935027,0.5519415996044017
b3620,0.029203512790708312,0.19831480479031979,0.18684631564981402
b3544,0.32759821354177537,0.11816273481563937,0.17612367547435648
b0825,1.2045264827577398,0.66103926297287341,1.7250309498549574
b3409,0.26095126067476393,0.39474132960408675,0.35287756758882716
b0452,0.078122893399530227,0.064675508719848576,0.1460914328710306
b0078,0.57761701552167377,0.36270109634346898,0.21070995288758515
b2288,0.65231298799281656,0.36153968130227798,0.74734405318094821
b2997,1.143490068770419,0.90563641930348648,1.4268033728951
b0514,0.29823369593360516,0.27765687238450354,0.77187963868780851
b2751,0.55796017622291438,0.47202887542578648,0.29081375178993907
b3222,0.6955473113400471,0.56385227483207701,0.6962182946677693
