,REF,WT_0.1h-1,WT_0.4h-1,WT_0.5h-1,WT_0.7h-1,galM,glk,pgm,pgi,pfkA,pfkB,fbp,fbaB,gapC,gpmA,gpmB,pykA,pykF,ppsA,zwf,pgl,gnd,rpe,rpiA,rpiB,tktA,tktB,talA,talB
R_GLCptspp,2.93,1.34,5.05,6.63,13.34,3.04,3.14,3.06,2.73,2.72,2.84,2.7,2.76,2.99,2.7,3.33,2.82,2.8,3.0,3.18,3.36,2.92,3.63,3.18,4.15,4.49,2.97,2.8,2.94
R_PGI,2.2854,0.8308,3.1815,5.5029,7.4704,1.9456,2.7318,2.3868,0.0,2.2848,1.4768,2.295,2.0148,1.8837,2.241,2.9304,2.0868,1.316,2.04,3.1482,2.6208,2.8908,3.3396,2.1306,2.1165,3.5022,2.5542,2.38,2.5284
R_PFK,2.49929,1.072,3.9895,5.7681,10.672,2.4624,2.7946,2.6316,0.9282,2.3664,2.1868,2.349,2.2908,2.392,2.322,2.997,2.3688,2.1,2.46,2.9574,2.8896,2.7156,3.3396,2.1942,3.2785,3.5471,2.6136,2.436,2.5872
R_FBA,2.49929,1.072,3.9895,5.7681,10.672,2.4624,2.7946,2.6316,0.9282,2.3664,2.1868,2.349,2.2908,2.392,2.322,2.997,2.3688,2.1,2.46,2.9574,2.8896,2.7156,3.3396,2.1942,3.2785,3.5471,2.6136,2.436,2.5872
R_TPI,2.49929,1.072,3.9895,5.7681,10.672,2.4624,2.7946,2.6316,0.9282,2.3664,2.1868,2.349,2.2908,2.392,2.322,2.997,2.3688,2.1,2.46,2.9574,2.8896,2.7156,3.3396,2.1942,3.2785,3.5471,2.6136,2.436,2.5872
R_PGK,-5.0396,-2.2378,-8.3325,-11.4699,-22.678,-5.1072,-5.5578,-5.2938,-3.276,-4.7056,-4.6292,-4.671,-4.6644,-5.0232,-4.644,-5.9274,-4.794,-4.508,-5.1,-5.7558,-5.8128,-5.3144,-6.5703,-4.9926,-7.0135,-7.6779,-5.1975,-4.872,-5.145
R_GAPD,5.0396,2.2378,8.3325,11.4699,22.678,5.1072,5.5578,5.2938,3.276,4.7056,4.6292,4.671,4.6644,5.0232,4.644,5.9274,4.794,4.508,5.1,5.7558,5.8128,5.3144,6.5703,4.9926,7.0135,7.6779,5.1975,4.872,5.145
R_ENO,4.73781,2.1038,7.7265,10.7406,21.6108,4.8336,5.2438,5.0184,2.9757,4.4064,4.3452,4.374,4.3884,4.7242,4.347,5.6277,4.512,4.2,4.8,5.4378,5.4432,5.0516,6.2799,4.7064,6.723,7.3636,4.9005,4.564,4.851
R_PGM,-4.73781,-2.1038,-7.7265,-10.7406,-21.6108,-4.8336,-5.2438,-5.0184,-2.9757,-4.4064,-4.3452,-4.374,-4.3884,-4.7242,-4.347,-5.6277,-4.512,-4.2,-4.8,-5.4378,-5.4432,-5.0516,-6.2799,-4.7064,-6.723,-7.3636,-4.9005,-4.564,-4.851
R_PYK,1.38589,0.7102,1.2625,2.2542,5.7362,1.672,1.6014,1.53,0.1365,1.1696,1.3916,1.539,1.242,1.6146,1.107,1.8315,1.4382,1.288,1.05,2.1624,1.7136,1.9564,2.541,1.431,2.158,2.1552,1.188,1.092,1.2054
R_PDH,3.79142,1.8224,5.1005,7.4256,16.9418,4.2864,4.1448,3.978,3.3306,3.264,3.692,3.834,3.3948,4.3056,3.186,4.5621,3.6378,3.696,3.42,4.9608,4.4016,4.3508,5.5539,4.611,5.727,6.6003,3.564,3.276,3.5574
R_G6PDH2r,0.60065,0.4824,1.818,0.9945,5.6028,1.064,0.3768,0.6426,2.6754,0.3808,1.3348,0.378,0.69,1.0764,0.432,0.3663,0.6768,1.456,0.93,0.0,0.672,0.0,0.2541,0.9858,1.992,0.9429,0.3861,0.364,0.3822
