,REF,WT_0.1h-1,WT_0.4h-1,WT_0.5h-1,WT_0.7h-1,galM,glk,pgm,pgi,pfkA,pfkB,fbp,fbaB,gapC,gpmA,gpmB,pykA,pykF,ppsA,zwf,pgl,gnd,rpe,rpiA,rpiB,tktA,tktB,talA,talB
b0756,2.204765645,0.434668761,0.476564546,0.667714061,1.107619796,0.04268133,5.970149254,7.357947107,4.556166536,3.587326525,2.932704897,1.005498822,3.142183818,2.775595706,2.06598586,1.235925635,1.186174391,1.125949201,0.866719036,2.165488348,1.594658288,1.010735795,1.44278607,1.605132234,1.581565855,1.395653312,0.940036659,1.440167583,1.183555905
b0688,1.264543102,0.529463169,0.322132931,0.885865561,0.486626343,0.54145748,2.364592793,0,1.516423639,1.850550882,2.998577817,1.423896095,1.953359264,1.333082024,0.813899693,0.73336646,0.438649098,0.538030534,0.351261973,1.370778431,2.158976029,0.786484125,1.560973938,1.396480526,1.461592502,1.562687411,0.779630233,1.062353284,0.841315262
b4025,2.168,1.4,0.904,1.256,2.472,1.032,5.44,3.72,0.1328,2.464,4.584,1.8,2.528,1.88,3.76,3.504,1.056,1.256,1.008,3.536,1.68,3.48,3.968,1.52,1.896,2.584,3.632,4.096,3.376
b3916,0.119014085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b1723,1.676056338,0.117042254,0.278873239,0.133239437,0.649295775,0.466197183,0.521126761,1.802816901,2.802816901,30.56338028,0,1.887323944,2.507042254,1.647887324,0.266197183,0.408450704,0.502816901,0.556338028,0.409859155,0.36056338,0.846478873,1.492957746,1.943661972,0.807042254,0.994366197,1.422535211,1.247887324,0.974647887,1.014084507
b4232,1.206666667,0.660666667,0.72,1.053333333,1.346666667,0.953333333,2.293333333,2.286666667,2.133333333,1.666666667,2.006666667,0,0.76,1.6,1.04,1.446666667,0.913333333,0.973333333,0.866666667,1.253333333,1.413333333,1.18,1.26,1.733333333,1.393333333,1.42,1.026666667,1.413333333,1.313333333
b2925,31.16458477,22.32610417,24.16532557,27.33287353,50.32314098,46.23598232,31.93092702,59.51924796,44.95874524,47.00232457,41.89337625,23.04135694,32.44182185,31.16458477,19.51618259,22.99026745,45.72508749,48.27956165,42.40427108,22.32610417,27.07742611,29.88734769,31.93092702,25.2892942,24.03760186,32.44182185,33.2081641,35.50719084,30.90913735
b3919,17.01764793,1.234613673,1.015868308,1.512679816,2.339463147,16.64689307,15.68293045,43.0075634,32.36689901,28.21444461,18.05576153,15.83123239,27.36170844,20.94764941,37.8169954,44.11982797,16.16491176,17.42547827,13.82915616,29.32670918,23.8395373,16.09076079,15.12679816,12.42028771,14.05160908,18.50066736,14.12576005,15.94245885,15.42340205
b1779,123.2691658,48.40706968,88.93391872,147.7541371,208.5444107,94.84408421,129.1793313,235.8437465,148.0355736,160.9816503,131.7122594,90.05966453,122.4248565,148.31701,138.1852978,124.3949116,90.90397388,94.84408421,80.77226162,142.4068445,100.4728132,94.2812113,140.4367894,84.14949904,97.93988517,112.5745807,92.31115614,116.7961274,98.22132163
b2926,16.80529209,7.952721436,6.153023007,10.04426285,13.64365971,12.01420303,24.1013668,26.26586896,34.29155115,23.78520356,24.80665402,16.63505034,25.04985651,16.44048835,7.393355708,6.104382509,10.94411207,12.57356875,11.21163481,8.147283428,15.41903789,10.1172236,18.11858553,8.439126417,8.560727662,10.40906659,12.01420303,13.18157498,11.62507904
