,REF,WT_0.1h-1,WT_0.4h-1,WT_0.5h-1,WT_0.7h-1,galM,glk,pgm,pgi,pfkA,pfkB,fbp,fbaB,gapC,gpmA,gpmB,pykA,pykF,ppsA,zwf,pgl,gnd,rpe,rpiA,rpiB,tktA,tktB,talA,talB
b0756,2.096732129,0.057376277,0.05766431,0.0422663,0.571531815,0.006188793,0.080597015,2.177952344,0.80188531,1.503089814,0.02325635,0.126692852,1.844461901,2.198271799,0.417329144,0.192804399,0.264516889,0.193663263,0.174210526,0.515386227,0.231225452,0.423498298,0.017746269,0.619581042,0.262539932,0.23586541,0.280130924,0.663917256,0.262749411
b0688,1.044512603,0.006247665,0.106626,0.577584346,0.444776477,0.142403317,0.848888813,0,0.019561865,1.13438769,0.101651788,0.081304467,0.054108052,0.363931393,0.077808811,0.347615702,0.098257398,0.113524443,0.135587122,0.167234969,0.531108103,0.358636761,0.231024143,0.29186443,0.32155035,0.493809222,0.156705677,0.422816607,0.393735543
b4025,1.175056,0.10962,0.077292,0.1085184,0.28428,0.061404,0.442816,0.71424,0,0.719488,0.4584,0.7092,0.0788736,0.20868,0.39856,0.1818576,0.0487872,0.0827704,0.00446544,0.099008,0.24192,0.64728,0.0662656,0.024776,0.65412,0.0798456,0.3602944,0.507904,0.2106624
b3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b1723,2.53084507,0.064022113,0.178478873,0.007647944,0.00922,0.109090141,0.060450704,0.155943662,1.23043662,3.148028169,0,1.098422535,0.779690141,0.641028169,0.020523803,0.265901408,0.198109859,0.258140845,0.156976056,0.594929577,0.422392958,0.098385915,0.211859155,0.267130986,0.222738028,0.405422535,0.129780282,0.058089014,0.318422535
b4232,0.44888,0.154596,0.1188,0.156946667,0.14544,0.12584,0.307306667,0.102442667,0.443733333,0.2,0.453506667,0,0.22268,0.10288,0.31304,0.016347333,0,0.107066667,0.126533333,0.27824,0.146986667,0.098648,0.22176,0.240933333,0.048348667,0.114168,0.032134667,0.375946667,0.14578
b2925,11.96720055,7.925766981,6.403811275,9.83983447,18.26730018,6.195621631,9.675070887,15.71308146,2.688532965,4.606227808,5.571819041,2.811045546,3.195519452,1.031547756,4.117914527,13.33435512,17.87850921,11.73193348,2.853807444,6.318287481,1.034357677,8.846654916,4.789639053,0.318645107,2.956625029,2.734845582,8.600914502,10.58114287,9.58183258
b3919,10.63602996,0.018889589,0.422601216,0.282871126,0.101766647,2.713443571,2.509268871,4.515794157,1.851386623,6.630394483,3.033367937,0.465438232,9.330342577,4.147634584,6.08853626,11.07407682,0.79693015,1.45154234,2.586052202,6.42254931,3.480572445,2.44579564,5.324632953,4.906013644,3.695573187,1.979571407,2.359001928,0.924662613,1.20611004
b1779,78.52245863,0.851964426,20.8994709,32.80141844,31.2816616,20.29663402,1.73100304,62.26274907,30.34729258,34.61105482,6.401215805,11.61769672,37.70685579,7.593830913,2.736068896,2.761567038,22.45328155,20.10694585,15.10441292,27.484521,23.00827423,12.72796353,39.18186424,7.514550265,24.19115164,17.78678374,13.29280648,19.27136103,22.19801869
b2926,15.12476288,4.684152926,3.014981273,5.333503575,10.27367576,1.633931611,5.109489761,6.986721144,16.52852765,8.848095725,1.513205895,1.046344667,6.312563841,1.726251277,0.669838027,0.582358091,2.812636801,1.256099518,2.040517535,3.780339511,1.253567781,2.246023639,4.475290627,1.071769055,1.917602996,2.571039447,3.460090471,3.321756895,4.289654166
b0755,6.328163265,4.545306122,2.935510204,0.888163265,7.297346939,1.140040816,0,0,0,0,0,10.21428571,5.210204082,2.16,0,15.82693878,2.599346939,0.374040816,2.195142857,10.22102041,7.516326531,13.60714286,2.768040816,4.44,4.591836735,2.337795918,12.4877551,9.459183673,5.113469388
b2779,26.76771438,7.020698719,8.389880626,20.91862885,33.90647246,1.296922571,17.25506516,23.99211477,23.62150914,21.39656117,20.53006242,19.21147738,25.43971088,47.89639689,9.830248604,7.009089913,2.434015989,3.757967364,3.180374548,5.552513416,29.46446172,6.742744497,5.472084109,3.495345526,3.355952251,1.705377286,12.6032198,8.071186069,6.034388347
b1854,4.347333372,0.375644995,0.902291801,0.481687014,0.587067002,0.149074128,0.319475437,4.866756236,3.357809062,4.104523239,2.09860389,0,0,0,0.358432151,0.310711295,0,0.613704071,0.304106548,1.263625212,0,0.484255311,0.600794439,1.045621824,1.525322741,0.125492143,1.661234106,0.835796483,0.155772339
