,REF,WT_0.1h-1,WT_0.4h-1,WT_0.5h-1,WT_0.7h-1,galM,glk,pgm,pgi,pfkA,pfkB,fbp,fbaB,gapC,gpmA,gpmB,pykA,pykF,ppsA,zwf,pgl,gnd,rpe,rpiA,rpiB,tktA,tktB,talA,talB
b0008,0.0349476521,0.0247247698,0.0847970266,0.1203763145,0.1817591424,0.0302731254,0.0260437917,0.0396221788,0.0525327764,0.0293827393,0.0284923533,0.0249308091,0.0258211952,0.033612073,0.043628916,0.0313861079,0.0333894765,0.0302731254,0.0311635114,0.0307183184,0.0532005659,0.0320538974,0.019009742,0.0255985986,0.0358380381,0.0251534056,0.033612073,0.03316688,1.01281412034884e-05
b0114,0.0511971973,0.0422862885,0.1028959967,0.1985628597,0.3150151428,0.0496390217,0.0509746008,0.0503068113,0.03316688,0.0382865997,0.0498616182,0.0587654786,0.044519302,0.0434063194,0.0547587415,0.0478582496,0.0465226706,0.0496390217,0.0491938287,0.0471904601,0.0465226706,0.0402899683,0.0191210402,0.0324990905,0.0507520043,0.0338346695,0.0460774776,0.0498616182,0.0538683554
b0115,0.0276019672,0.0222060783,0.0372034385,0.0747029862,0.1046646747,0.0262663882,0.0298279323,0.0229274405,0.0142684363,0.0191655595,0.0267115812,0.023150037,0.0217699387,0.0238178266,0.0296053358,0.0215028229,0.0208127737,0.0216586404,0.0260437917,0.0251534056,0.0229274405,0.0202340228,0.0138900222,0.0207237351,0.0210576298,0.022192872,0.0215918615,0.0219925352,0.0278245637
b0116,0.0912645691,0.0630828238,0.1739512126,0.177661506,0.3129729053,0.0754602169,0.0905967796,0.0592106717,0.0774635855,0.0536457589,0.0821381122,0.0765731994,0.0516423903,0.0854770598,0.0736794448,0.0908193761,0.0881482179,0.0845866738,0.0803573401,0.0828059017,0.0988328504,0.0594332682,0.0511971973,0.0923775516,0.0877030249,0.0476356531,0.078131375,0.0810251296,0.0854770598
b0118,0.1560401535,0.1220063405,0.1990886711,0.1540507177,0.2159666214,0.15626275,0.1368968536,0.111298255,0.1544819779,0.0629948123,0.121760291,0.1422391699,0.0912645691,0.1542593814,0.1239862561,0.1299963618,0.1426843629,0.1433521524,0.1478040826,0.1059559387,0.1115208515,0.1246540456,0.0487486357,0.110853062,0.1538141884,0.133557906,0.1313319409,0.1440199419,0.1598242942
b0333,0.0187871454,0.0084110432,0.0102560831,0.000137407,0.0001521467,0.016516661,0.0134225696,0.0244856161,0.003316688,0.0311635114,0.0142684363,0.0161605066,0.0145800714,0.0125544432,0.0163385838,0.0141348784,0.0153591592,0.0150697837,0.0193658964,0.0204788789,0.0097719868,0.0185645489,0.0003338948,0.0120869905,0.0143352152,0.0136451661,0.0139790608,0.0134003099,0.0178522401
b0474,0.0358380381,0.0337366017,0.0780937043,0.1571472145,0.2307728437,0.0387317927,0.0287149498,0.0229274405,0.0418481439,0.0204788789,0.0269341777,0.03316688,0.034057266,0.0425159334,0.032721687,0.044519302,0.0362832311,0.0393995823,0.0402899683,0.0353928451,0.0420707404,0.0429611264,0.0126880011,0.0407351613,0.0507520043,0.0152923802,0.0429611264,0.0371736172,0.0273793707
b0688,0.0213470053,0.0230379397,0.0316396811,0.0472215768,0.0576932109,0.0191878192,0.0199669069,3.98447752840531e-05,0.019833349,0.0289375463,0.0202562824,0.0171399313,0.0233726335,0.0211689281,0.0170063734,0.0161159873,0.0176073839,0.0183419524,0.0192100788,0.0189874823,0.0203898403,0.0215250825,0.0318313009,0.0255985986,0.0189874823,0.0220370545,0.0196552718,0.0192323385,0.0199669069
b0720,0.2604379167,0.2380047931,0.361979402,0.2875871438,0.3839406603,0.2782456375,0.2826975677,0.1747382603,0.3227649395,0.1155275887,0.2626638818,0.2054565787,0.2205931414,0.2537600214,0.2292744053,0.2337263355,0.2582119516,0.2804716026,0.2582119516,0.2715677422,0.2715677422,0.267115812,0.1364516606,0.2404042308,0.3005052885,0.1660569964,0.2960533583,0.2871494979,0.2782456375
b0721,0.0921549551,0.0859590126,0.1370829402,0.1377941093,0.1817591424,0.1057333422,0.0812477261,0.0400673718,0.068114532,0.0311635114,0.0656659704,0.0821381122,0.0752376204,0.1357838711,0.077686182,0.1092948864,0.0948261132,0.089483797,0.0923775516,0.0808025331,0.0974972714,0.0972746749,0.0298279323,0.0701179006,0.1050655527,0.0536457589,0.0997232365,0.1001684295,0.0836962877
b0722,0.0865900424,0.0711703653,0.1273631229,0.1196021903,0.169505717,0.1010588155,0.0990554469,0.0480808462,0.0629948123,0.0284923533,0.0687823216,0.0763506029,0.0645529879,0.1157501852,0.0752376204,0.0823607087,0.0774635855,0.0823607087,0.0926001481,0.067224146,0.0848092703,0.0843640773,0.0427385299,0.078576568,0.0816929192,0.0552039345,0.0943809202,0.0974972714,0.0992780434
b0723,0.0892612005,0.0739432367,0.1280334551,0.1192151282,0.1710373952,0.0912645691,0.0946035167,0.0540909519,0.0670015495,0.0309409149,0.0754602169,0.0897063935,0.0685597251,0.1124112375,0.0718986727,0.08992899,0.0856996563,0.0843640773,0.0741246378,0.0670015495,0.0825833052,0.0879256214,0.0431837229,0.067224146,0.09950064,0.044074109,0.0836962877,0.0872578319,0.0850318668
