,REF,WT_0.1h-1,WT_0.4h-1,WT_0.5h-1,WT_0.7h-1,galM,glk,pgm,pgi,pfkA,pfkB,fbp,fbaB,gapC,gpmA,gpmB,pykA,pykF,ppsA,zwf,pgl,gnd,rpe,rpiA,rpiB,tktA,tktB,talA,talB
b0008,0.00736,0.000876,0.00659,0.00836,0.0138,0.00253,0.00289,0.00484,0.00424,0.00283,0.00401,0.00192,0.00356,0.00354,0.00433,0.00435,0.00643,0.00212,0.00387,0.00277,0.00574,0.00395,0.00308,0.00364,0.00396,0.00251,0.00323,0.00209,0.00000194
b0114,0.0095,0.00402,0.0117,0.0129,0.0241,0.00431,0.0018,0.00691,0.00223,0.00397,0.0066,0.00452,0.00358,0.00339,0.00297,0.00731,0.00907,0.0055,0.00308,0.00593,0.00937,0.00257,0.00199,0.00498,0.00524,0.00487,0.00396,0.00368,0.00713
b0115,0.00391,0.000755,0.00364,0.00752,0.00587,0.00313,0.000778,0.00162,0.00132,0.00159,0.00187,0.0012,0.00188,0.00212,0.000792,0.00271,0.00356,0.00338,0.00152,0.00223,0.00241,0.00147,0.00143,0.00186,0.00339,0.00169,0.00143,0.00131,0.00174
b0116,0.021,0.00364,0.0119,0.00768,0.0223,0.00811,0.0112,0.00538,0.00883,0.00568,0.0127,0.00936,0.00688,0.0027,0.00508,0.0143,0.0167,0.012,0.009,0.0078,0.0033,0.00607,0.0047,0.00846,0.0143,0.00407,0.0108,0.00567,0.0125
b0118,0.0265,0.00589,0.0194,0.0118,0.0147,0.0162,0.0136,0.0187,0.0147,0.00792,0.00829,0.0127,0.0126,0.00696,0.00981,0.0139,0.0213,0.0145,0.0124,0.00613,0.00227,0.0108,0.00693,0.0119,0.0187,0.00714,0.00818,0.0138,0.021
b0333,0.00239,0.000176,0.0014,0.0000186,0.0000125,0.00191,0.00158,0.00234,0.000458,0.0032,0.000639,0.00123,0.000942,0.000875,0.00103,0.00172,0.00143,0.000846,0.00111,0.00165,0.000364,0.00207,0.0000177,0.000875,0.00107,0.00141,0.000955,0.000988,0.000556
b0474,0.00944,0.00424,0.00915,0.0145,0.0239,0.00542,0.00135,0.00206,0.00403,0.0034,0.00257,0.00312,0.00515,0.00488,0.00114,0.0063,0.00502,0.00253,0.00634,0.00316,0.00266,0.00461,0.00218,0.00379,0.0028,0.000239,0.004,0.00282,0.00204
b0688,0.00394,0.00135,0.00307,0.00447,0.00352,0.00256,0.000675,0.00000202,0.0016,0.0015,0.001,0.00105,0.00124,0.00299,0.00189,0.00191,0.00275,0.000771,0.00147,0.00113,0.00144,0.00215,0.00279,0.00243,0.00221,0.000982,0.00201,0.000945,0.00203
b0720,0.0561,0.023,0.0315,0.0251,0.0276,0.0304,0.0175,0.0283,0.0241,0.0141,0.00825,0.019,0.0292,0.0148,0.0104,0.0205,0.0332,0.0261,0.0197,0.0195,0.013,0.0302,0.0161,0.0223,0.0293,0.0167,0.00648,0.0234,0.0181
b0721,0.0195,0.00359,0.00958,0.0097,0.0111,0.0145,0.00736,0.0046,0.00429,0.00334,0.00418,0.00465,0.00572,0.0131,0.00804,0.0136,0.0131,0.0124,0.00485,0.00908,0.00761,0.0112,0.00416,0.00765,0.0138,0.00567,0.00893,0.00821,0.00742
b0722,0.0128,0.00711,0.00994,0.00921,0.0148,0.0103,0.00345,0.00769,0.00564,0.00329,0.00324,0.00548,0.00909,0.0053,0.00479,0.00862,0.00697,0.00431,0.00594,0.00445,0.00669,0.00896,0.00243,0.00137,0.0064,0.00601,0.0083,0.00792,0.00343
b0723,0.0107,0.00623,0.00658,0.00659,0.00846,0.0115,0.00536,0.00646,0.00794,0.00256,0.00591,0.00642,0.00694,0.00827,0.0109,0.00932,0.0104,0.0106,0.00341,0.00737,0.00537,0.00906,0.0057,0.00832,0.00963,0.00439,0.00708,0.00838,0.00768
b0724,0.00771,0.00384,0.00916,0.00466,0.00735,0.0055,0.00412,0.00517,0.00214,0.00213,0.00219,0.00146,0.005,0.00379,0.00463,0.00687,0.00546,0.00482,0.00285,0.00303,0.0022,0.00492,0.00387,0.004,0.00249,0.00452,0.00576,0.00558,0.00972
