,O2_0.0,O2_0.5,O2_1.0,O2_2.8,O2_20.9
GAL2_1,6.44,2.49,2.045,1.32,1.075
PGI1_1,5.6672,1.9173,1.3906,0.7592,0.52445
PFK1_1,5.8604,2.025,1.5754,0.8912,0.68365
FBA1,5.8604,2.025,1.5754,0.8912,0.68365
GPD1,1.0948,0,0,0,0
FPS1,-1.0948,0,0,0,0
TDH1,10.4972,3.9863,3.1417,1.7364,1.36295
PGK1,10.4972,3.9863,3.1417,1.7364,1.36295
GPM1_2,10.4972,3.9863,3.1417,1.7364,1.36295
ENO1,10.4972,3.9863,3.1417,1.7364,1.36295
CDC19,10.4328,4.0216,3.2371,1.6972,1.38035
ZWF1,0.322,0.2322,0.33855,0.244,0.2882
SOL1,0.322,0.2322,0.33855,0.244,0.2882
GND1,0.322,0.2322,0.33855,0.244,0.2882
TKL1_1,0.1288,0.0608,0.11285,0.0792,0.09035
TKL1_2,0.0644,0.0359,0.07195,0.0396,0.06885
TAL1,0.1288,0.0608,0.11285,0.0792,0.09035
PDC1,9.5627,2.9405,1.8768,0.1776,0.07525
ALD2,0.1288,0.0886,0.09165,0.0924,0.07525
ADY2,0,0,0,0,0
U204_,-9.4668,-2.8519,-1.78515,-0.0852,0
ACS1,0.1288,0.0886,0.09165,0.0924,0.07525
PYC1,0.322,0.4007,0.4423,0.3904,0.34835
OAC1,0.1932,0.1662,0.153,0.2312,0.1697
U133_,0.5152,0.6694,0.91875,1.1292,0.9524
PDA1_2,0.2576,0.4563,0.69455,0.978,0.7996
CIT1,0.1932,0.4065,0.65365,0.9448,0.76735
ACO1,0.1932,0.4065,0.65365,0.9448,0.76735
IDH1,0.1932,0.4065,0.65365,0.9448,0.76735
KGD1,0,0.2432,0.50065,0.7864,0.6427
LSC2,0,-0.2432,-0.50065,-0.7864,-0.6427
SDH3_1,0,0.2432,0.50065,0.7864,0.6427
FUM1_1,0,0.2432,0.50065,0.7864,0.6427
GLCxtI,6.44,2.49,2.045,1.32,1.075
O2xtI,0,1.2,1.7,2.5,2.7
GLxtO,1.0948,0,0,0,0
ACxtO,0,0,0,0,0
ETHxtO,9.4668,2.8519,1.78515,0.0852,0
CBIOMASS,0.1,0.1,0.1,0.1,0.1
