,O2_0.0,O2_0.5,O2_1.0,O2_2.8,O2_20.9
YAL003W,15.6131,15.8416,16.1502,16.0648,15.9923
YAL012W,15.0357,15.5687,14.869,14.7712,14.7922
YAL054C,18.1268,18.5109,17.8574,23.5321,26.4443
YAL062W,6.7335,7.0407,12.2544,11.9487,8.9476
YAR015W,13.2598,13.1959,12.936,13.2379,12.0508
YBL015W,22.1928,21.8624,28.0709,28.4176,28.0649
YBL045C,16.11,15.892,16.0364,16.078,15.4918
YBL099W,31.2948,32.1816,36.7,37.963,37.6591
YBR011C,15.9879,16.1847,16.4493,16.336,16.2436
YBR026C,12.2336,11.9087,14.2151,13.774,14.5487
YBR039W,14.5231,13.8346,15.4563,15.3526,14.5437
YBR072W,35.4321,33.1836,48.3221,45.1383,50.9014
YBR117C,6.7335,7.0407,9.3487,8.2992,12.3868
YBR118W,18.7614,18.4425,18.7247,18.8342,18.1329
YBR121C,12.7196,12.8856,12.3945,12.3264,12.1128
YBR127C,14.6032,14.6113,13.9224,13.7864,13.5218
YBR133C,14.971,15.1601,14.8348,14.9168,14.9661
YBR149W,9.9166,8.7574,11.1713,11.8095,12.9507
YBR263W,12.8847,13.0684,12.7171,13.203,13.3318
YCL018W,15.1319,14.9757,14.7527,14.6869,14.5604
YCL030C,14.5182,14.5048,13.6405,12.6919,12.2174
YCL040W,11.238,11.9753,11.4891,11.7166,10.6051
YCR012W,16.5255,16.5609,16.3163,16.546,15.67
YDL022W,12.0508,11.7266,12.634,12.4486,12.4536
YDL066W,14.1619,14.1709,13.1994,13.7688,13.0614
YDL124W,13.9015,13.8043,12.8563,13.5805,14.3498
YDL131W,23.8622,24.1785,19.5012,20.9293,21.6211
YDL174C,12.3753,12.2535,10.2319,11.6363,11.6653
YDL185W,15.4354,15.409,14.9787,14.8448,14.8123
YDL229W,31.2373,31.5674,30.9096,31.19,30.5811
YDR032C,14.6483,14.6426,15.2937,15.1739,15.3074
YDR035W,12.9575,12.7703,13.7598,13.4169,13.9683
YDR044W,16.5572,17.0838,13.2111,13.479,12.6351
YDR050C,12.7372,12.9647,13.4322,13.2655,12.37
YDR158W,14.1064,13.7815,14.0366,13.8087,13.8757
YDR177W,12.8984,13.1251,13.8219,13.6907,13.0188
YDR226W,14.5879,14.3214,15.3372,14.9514,14.8373
YDR298C,13.5618,13.0457,15.0586,14.9465,13.3749
