,O2_0.0,O2_0.5,O2_1.0,O2_2.8,O2_20.9
YAL003W,0.308,0.0105,0.2378,0.2183,0.3234
YAL012W,0.1505,0.0827,0.0752,0.049,0.1781
YAL054C,0.6086,0.239579799,3.307011317,0.959408537,0.397069717
YAL062W,0,0.1462,0.5268,0.2174,1.955
YAR015W,0.2105,0.0279,0.2112,0.1096,0.9194
YBL015W,0.0709,0.185947439,0.322579169,0.498772914,0.239518788
YBL045C,0.0351,0.1529,0.2765,0.2622,0.2832
YBL099W,0.277647006,0.184774403,1.4290816,0.394490063,1.451701023
YBR011C,0.0036,0.153,0.2513,0.0226,0.2818
YBR026C,0.4252,0.1434,0.2492,1.0684,0.0909
YBR039W,0.3227,0.1313,0.4618,0.042,0.1742
YBR072W,2.046074725,0.381745059,1.020611978,0.481946283,1.270150487
YBR117C,0,0.1462,1.0155,0.6842,0.4105
YBR118W,0.0685,0.2002,0.2087,0.0249,0.3134
YBR121C,0.2594,0.037,0.1063,0.821,0.1875
YBR127C,0.1872,0.0439,0.3197,0.0275,0.2568
YBR133C,0.0665,0.183,0.1718,0.0812,0.3999
YBR149W,0.2541,2.2815,0.432,0.0129,0.1452
YBR263W,0.3536,0.3032,0.9716,0.4217,0.1001
YCL018W,0.0261,0.0682,0.2749,0.0413,0.1418
YCL030C,0.3344,0.1785,0.4154,0.0513,0.3782
YCL040W,0.5736,0.0116,0.3982,0.268,0.3148
YCR012W,0.4045,0.0834,0.4212,0.0832,0.4552
YDL022W,0.1154,0.1121,0.5407,0.4418,0.5466
YDL066W,0.1984,0.2252,0.285,0.0741,0.541
YDL124W,0.2131,0.0302,0.2814,0.2228,0.2469
YDL131W,1.066244222,0.088899325,1.322603436,0.735047461,0.527136889
YDL174C,0.0432,0.1111,0.3739,0.0287,0.2365
YDL185W,0.0971,0.1683,0.4083,0.0842,0.2309
YDL229W,0.530883462,0.211866302,0.18845989,0.081840393,0.494514398
YDR032C,0.2762,0.204,0.0948,0.0502,0.1527
YDR035W,0.3434,0.2044,0.197,0.0769,0.3185
YDR044W,0.2143,0.0381,0.3952,0.085,0.4872
YDR050C,0.1076,0.1018,0.1507,0.1754,0.5309
YDR158W,0.2621,0.0961,0.3411,0.0914,0.1838
YDR177W,0.3898,0.2705,0.2719,0.1858,0.3261
YDR226W,0.1876,0.328,0.3225,0.3343,0.3146
YDR298C,0.178,0.1688,0.1878,0.3158,1.197
YDR304C,0.2061,0.1138,0.3693,0.1034,0.1732
YDR353W,0.0026,0.0602,0.2071,0.0236,0.1676
YDR385W,0.4391,0.2588,0.5955,1.4419,0.2625
YDR454C,0.5606,0.4908,0.4588,0.4715,0.2114
YDR502C,0.190065673,0.330559964,0.211980306,0.082450591,0.571582033
YEL024W,0.6649,0.1321,0.3261,0.3103,0.3017
YEL047C,0.0738,0.1046,0.2526,0.0107,0.2005
YEL071W,0.612464309,0.17521872,0.372962693,0.219672779,1.157785541
YER015W,0,0.206758023,0.701974472,0.772797438,0.888655816
YER042W,0.395,0.4988,0.4793,0.3097,0.2884
YER065C,0,0.1462,1.8708,0.1113,0.3628
YER091C,0.413569958,0.170702255,0.781871211,0.360324229,0.879318748
YER156C,0.5749,0.3453,0.6043,0.245,0.5768
YER165W,0.162172285,0.224431393,0.263347679,0.724504479,0.393420335
YER177W,0.1482,0.0683,0.3099,0.379,0.3878
YFL018C,0.594082932,0.040482095,0.310042126,0.38489105,0.570429531
YFL030W,0,0.1462,0.451,0.2746,0.2608
YFL037W,0.3682,0.3217,0.3472,0.0904,0.3778
YFL039C,0.3724,0.9495,0.1934,0.0233,0.2205
YFL045C,0.4,0.0907,0.092,0.035,0.0665
YFR053C,0.175963206,0.786606916,0.555237481,0.080342081,0.902727257
YGL009C,0.2162,0.0025,0.2604,0.0371,0.6582
YGL011C,0.0243,0.0775,0.5345,0.0746,0.3446
YGL148W,0.0449,0.267,0.2259,0.0688,0.3392
YGL202W,0.407,0.3035,0.4948,0.3629,0.9561
YGL221C,0.2899,0.0469,0.2299,0.2286,0.1747
YGR019W,0.3137,0.0021,0.4545,0.0028,0.2235
YGR155W,0.193618103,0.213219722,0.572081437,1.335338193,0.559159691
YGR204W,0.256263712,0.785451036,1.210140475,0.541885163,0.513426382
YGR244C,0.0523,0.2037,0.2069,0.068,0.0587
YGR254W,0.427185978,0.29274781,0.737184014,3.180527117,1.162033881
YHL021C,0.1372,0.1888,0.2608,0.0248,0.1453
YHR008C,0.4445,0.0558,0.183,0.0424,0.1848
YHR024C,0.0438,0.2765,0.3007,0.1235,0.1275
YHR049W,0.5562,0.2134,0.461,0.107,0.3745
YHR068W,0.106,0.0607,0.0846,0.4786,0.5197
YHR128W,0.2067,0.033,0.3124,0.0625,0.1664
YHR174W,0.400521835,0.227337019,0.556672372,0.660561496,0.921901605
YHR200W,0.1375,0.3995,0.2577,0.2818,0.2927
YHR208W,0.5344,0.1113,0.2426,0.116,0.2396
YIL053W,0.2242,0.1035,0.1158,0.0797,0.3073
YIL136W,0.6316,0.147846001,0.616346729,0.210685453,0.580651057
YIL155C,0.0073,0.7848,0.3911,0.3352,0.5192
YIL160C,0,0.1462,1.3264,4.5396,0.1098
YIR034C,0.2007,0.0363,0.4237,0.0041,0.3787
YJL066C,0.4849,0.5299,0.4642,0.1558,0.4239
YJL153C,0.07,0.1462,0.1441,0.2367,0.7733
YJR045C,0.0253,0.146831196,0.198212739,0.604518519,0.483446264
YJR056C,0.005,0.0222,0.9904,0.2081,1.9177
YJR105W,0.099736553,0.534623475,0.204617937,0.166148488,0.265024621
YJR121W,0.0663,0.0859,0.307,0.2517,0.4825
YJR123W,0.0593,0.1139,0.1417,0.0829,0.1582
YKL016C,0.6879,0.5991,0.6053,0.001,0.3156
YKL029C,0.1629,0.0092,0.1035,0.4137,0.1406
YKL056C,0.0606,0.0372,0.1958,0.228,0.1855
YKL060C,0.164,0.281451044,0.525597641,0.289077377,0.240452178
YKL142W,0.2673,0.0637,0.2951,0.2908,0.2474
YKL148C,0.3789,0.1117,0.1949,0.1316,0.2117
YKL150W,0.86276677,0.373069028,0.62590997,0.262885089,0.484630467
YKL152C,0.725853628,0.250016159,0.61065681,0.331181959,1.538725804
YLL026W,0.545433644,0.472047455,1.192352637,0.989646654,0.588122037
YLR017W,0.1418,0.2874,0.4574,0.1589,0.843
