,O2_0.0,O2_0.5,O2_1.0,O2_2.8,O2_20.9
YAL001C,8.737968331,8.624426018,8.580234888,8.374130761,8.579973663
YAL002W,8.23770508,8.343600705,8.043827317,7.825260812,8.02326207
YAL003W,12.89634437,12.99230987,13.02920383,12.99653848,12.92574096
YAL005C,13.1113755,13.71820906,13.50840951,13.13332223,13.69842433
YAL007C,9.80832643,9.161819499,9.31242727,9.499325511,9.030753763
YAL008W,8.92164216,8.961970901,8.986131339,8.801354568,9.110385691
YAL009W,7.790434834,7.593034924,7.675652535,7.647809166,7.807560096
YAL010C,7.279307243,7.262188607,7.132037083,7.214079421,7.400382951
YAL011W,7.088362847,7.354197504,7.195262213,7.198038144,7.147211946
YAL012W,11.64149131,11.36868316,11.3683565,11.37799765,11.14733717
YAL013W,9.439926223,9.807528178,9.788299229,9.621819443,9.8349418
YAL014C,9.244931984,9.273092772,9.283262886,9.111384322,8.983517403
YAL015C,7.960964752,8.071224413,8.126569218,8.066943129,8.518020432
YAL016C-B,4.693000904,4.659202055,4.575265638,4.671425292,4.763661083
YAL016W,10.22433207,10.27947251,10.39310116,10.42490833,10.64072481
YAL017W,9.742426045,9.743915424,9.50367173,9.391431273,9.559103676
YAL018C,4.531517066,4.777911596,4.827008757,4.701074398,4.740221454
YAL019W,7.143310817,6.847607094,6.906248333,7.044148315,6.877577611
YAL020C,8.465686733,8.675490384,8.537985771,8.510799362,8.733184642
YAL021C,8.938234734,9.063182144,9.126371934,9.17153265,8.939262648
YAL022C,9.216836226,9.232311964,9.155638101,9.199967628,9.049440155
YAL023C,11.20985766,10.96506492,10.82293236,10.78934419,10.53668518
YAL024C,7.416419813,7.294429217,7.317558645,7.261620378,7.052244956
YAL025C,6.942838623,6.833943758,6.920416953,7.024728984,6.392593686
YAL026C,8.909000474,8.713985421,8.596457538,8.585350815,8.574264106
YAL027W,7.564678726,7.984194636,8.149983223,8.252393886,8.385276434
YAL028W,8.04525528,7.252396806,6.985460359,6.758837787,7.822934086
YAL029C,9.74979598,9.487159659,9.423406414,9.552176828,8.834666803
YAL030W,9.92300029,10.05630973,10.09396376,10.08335232,10.37360928
YAL031C,8.572961292,8.763533908,8.662840717,8.451289806,8.796960747
YAL032C,7.846561814,7.890580201,7.773822885,7.806695314,8.319569652
YAL033W,9.416661775,9.128850247,9.325028453,9.351783317,8.246112859
YAL034C,8.837537792,9.334866809,9.215956801,8.930006414,10.16124816
YAL034W-A,7.034492926,7.292709611,7.262847154,7.385246919,7.02260164
YAL035W,11.69279331,11.62381728,11.50652743,11.4733938,11.23906957
YAL036C,10.2403983,10.10997712,10.174719,10.25128076,9.910750197
YAL037C-A,4.374269324,4.23381488,4.2670019,4.289870711,4.22513555
YAL037W,6.26246129,6.045718312,5.759777451,5.863110331,5.589467098
YAL038W,13.79663827,13.5881216,13.55692506,13.57928868,13.72977149
YAL039C,9.855097644,10.72599585,10.63315412,10.40985061,10.26965259
YAL040C,8.928442381,9.768972084,9.863388637,9.636824113,8.819922201
YAL041W,8.729427609,8.630238283,8.54357367,8.527910452,8.714391888
YAL042W,10.63011256,10.26746029,10.11787815,10.11332692,10.17401354
YAL043C,8.858368935,8.885162159,8.874842106,8.870305522,9.002235437
YAL044C,11.66149881,11.52144601,11.60286591,11.8552973,11.5317922
YAL044W-A,9.931047751,10.21513228,10.04039969,10.0963899,10.03739014
YAL046C,9.419756123,9.671265952,9.577284082,9.484620309,8.964988159
YAL047C,6.232646164,6.377489522,6.200143495,6.241169712,6.307940471
YAL048C,5.140395589,5.156213522,5.222471457,5.279307195,5.255758185
YAL049C,9.063064031,10.51660735,10.54137505,10.45213722,10.62025261
YAL051W,7.609455212,7.911299511,7.755168664,7.850827897,7.94633395
YAL053W,9.335591583,9.674288126,9.622720671,9.684135083,10.05272263
YAL054C,9.377937264,9.284987035,9.478613405,10.92742071,13.36320829
YAL055W,8.243820185,8.440369535,8.359304669,8.275192805,8.414016708
YAL056W,7.445607359,7.629828811,7.652903478,7.450514727,7.793476146
YAL058W,8.286070942,8.144800757,7.964201206,8.045427206,8.102687365
YAL059W,7.862154166,7.685832438,7.734755692,8.069099299,7.842252152
YAL060W,12.09194746,11.73724218,11.83699049,12.20216046,11.15235695
YAL061W,7.558040177,8.953517433,9.422207853,9.29672882,10.43533167
YAL062W,8.592868038,11.1399152,11.32573989,11.28589246,9.745705944
YAL063C,7.415093995,7.803110046,7.697117785,7.645553528,7.959123823
YAL063C-A,4.568604595,4.656857934,4.567821324,4.503119136,4.493135277
YAL064C-A,3.933605566,3.943233487,3.933377631,3.865825158,3.992652769
YAL064W,4.241731882,4.138585119,4.203124392,4.180859493,4.449007539
YAL064W-B,4.940682232,5.179485718,5.258768067,5.161454201,4.902637091
YAL065C,4.031342021,4.043173677,4.014577577,4.030586384,4.181388603
YAL067C,4.080281878,4.153156387,4.118204577,4.03049474,4.096994565
YAL067W-A,4.200457432,4.051733904,3.925931913,3.992601723,4.252594493
YAL068C,9.75754027,7.209667073,6.887020567,6.481770358,6.326872395
YAR002C-A,10.52874561,10.21182541,10.40480944,10.38932934,9.850840534
YAR002W,9.600998366,9.508778359,9.593655504,9.606269152,9.499755865
YAR003W,7.261456278,6.881647399,7.085345314,6.83804583,6.974033008
YAR007C,9.650895115,9.670461556,9.670066967,9.617920386,9.583031659
YAR008W,8.064455705,7.947960141,7.906119469,7.807336289,7.499691646
YAR009C,10.28113076,11.01769838,10.85318007,10.79487317,10.44504159
YAR010C,13.26059369,13.50430918,13.65920286,13.68982209,13.20787377
YAR014C,9.688539092,9.910169821,9.868352405,9.944420359,9.641613077
YAR015W,11.73801471,11.63329515,11.6650935,12.16072404,11.28275094
YAR018C,7.766765531,7.705490993,7.700026685,7.487569338,7.217198151
YAR019C,8.055813866,7.918904714,7.858736342,7.944422015,8.123735474
YAR020C,8.83825485,6.677004289,6.51165588,6.364542578,8.305801011
YAR023C,5.037864514,5.200964025,4.954666259,5.020061136,5.244423227
YAR027W,8.996891893,8.82441674,9.05051582,9.174072818,9.191629159
YAR028W,7.845372344,6.992201597,6.937329898,6.83006063,5.951667235
YAR029W,4.616841313,4.182377153,4.238661855,4.21433321,3.962248839
YAR031W,4.391534933,4.278277665,4.140660765,4.241943007,4.3874864
YAR033W,4.306659101,4.201305154,4.088261161,4.195122739,4.528182539
YAR035C-A,5.401254261,5.053482777,4.91964393,5.01955467,6.308296295
YAR035W,9.710618107,9.231905539,9.028346871,9.367218477,10.99245358
YAR042W,9.327792638,8.931795761,8.933231074,8.826790907,9.035932989
YAR050W,3.952141462,4.014836176,4.075392913,4.085668148,4.129885152
YAR064W,4.956421826,4.881766637,4.812049269,4.761774846,5.806087559
YAR066W,6.41111348,5.749529538,6.06691174,6.430479464,7.077937485
YAR068W,9.088831234,8.825172668,8.800381537,9.217778361,9.923218865
YAR071W,8.657866978,8.387626136,8.377238493,8.164493407,8.012096409
YAR073W,9.480195077,7.66680439,7.76489376,8.020203354,6.481254444
YAR075W,3.829533994,3.897038885,3.823084131,3.827140387,3.886559878
YBL001C,10.68700235,10.57098528,10.70567647,10.8555451,10.71990619
YBL002W,11.73931526,11.62947385,11.64171302,11.60351713,10.53176588
YBL003C,11.65303735,11.49221304,11.44821522,11.34857102,10.53766188
YBL004W,8.943626976,9.073139341,9.098119719,9.280969531,8.534705281
YBL005W,6.660527515,6.430609571,6.424573944,6.644051357,6.772467231
YBL005W-A,5.269609232,4.673320059,4.87179272,4.909206832,4.824804418
YBL006C,8.91393155,8.935097848,8.901243074,9.093466028,9.002470028
YBL007C,10.141988,10.06793594,9.971360729,9.963631116,10.08463544
YBL008W,8.36715713,8.303023075,8.244599269,8.267360245,8.206964068
YBL008W-A,4.781292149,4.488661759,4.5652176,4.38657233,5.190561081
YBL009W,8.143960588,7.915664451,7.945079878,8.157054053,7.820128483
YBL010C,7.675937806,7.686340891,7.616569817,7.713025516,7.315811897
YBL011W,9.001258951,9.016119253,8.826711228,8.797365412,8.88527352
YBL013W,4.811001696,4.545154327,4.572795548,4.613381101,4.444242188
YBL014C,7.544692279,7.248232695,7.31166551,7.467723239,7.172101575
YBL015W,11.80748685,12.81876977,12.83215362,12.68431261,12.10532733
YBL016W,8.053913865,9.848605547,9.880954625,9.914892504,8.896659582
YBL017C,9.970528146,10.10062199,9.920950144,9.780369633,9.778306007
YBL018C,9.530647064,9.056117515,8.992392598,9.057193596,8.827683769
YBL019W,7.885818841,8.051829603,8.091658385,8.013428227,8.419794512
YBL020W,8.555376764,8.416380711,8.458592956,8.402834445,8.074613835
YBL021C,8.430521057,8.785858152,8.812240303,8.834743948,8.124345828
YBL022C,11.15166981,11.29404065,11.21300213,10.95253369,10.94387794
YBL023C,9.243285725,9.245893662,9.227007744,9.224889844,9.036962192
YBL024W,9.759415402,9.572111568,9.533617777,9.689027687,9.32001139
YBL025W,7.202903374,6.871455635,6.993685938,7.115291169,7.320571938
YBL026W,9.630384075,9.499929782,9.650460752,9.878655527,9.348196166
YBL027W,12.53682744,12.32517266,12.28436964,12.5466453,12.24862884
YBL028C,7.79112628,7.746873997,7.859322518,7.960654848,7.447778747
YBL029C-A,9.545092416,10.39737127,10.33778272,10.16672987,10.35566346
YBL029W,7.93673384,8.74845064,8.613945862,7.524438608,6.710734637
YBL030C,12.53713393,13.14512982,13.26889981,13.24700562,12.91911327
YBL031W,7.002299247,6.323405429,6.240188412,6.146902108,5.720575663
YBL032W,9.137696024,9.047108677,9.095227056,8.923473397,8.887928379
YBL033C,10.4104202,10.56473251,10.36763124,10.48881624,10.73714409
YBL034C,7.895048262,7.944910637,7.941353595,7.993197143,7.765677923
YBL035C,8.022235526,8.343045993,8.063376336,8.133144523,8.052442141
YBL036C,8.86860715,8.453965661,8.649635986,8.731030163,8.490056533
YBL037W,8.863878328,8.64009701,8.690340389,8.779249267,8.241944931
