,O2_0.0,O2_0.5,O2_1.0,O2_2.8,O2_20.9
YAL003W,12.89634437,12.99230987,13.02920383,12.99653848,12.92574096
YAL012W,11.64149131,11.36868316,11.3683565,11.37799765,11.14733717
YAL054C,9.377937264,9.284987035,9.478613405,10.92742071,13.36320829
YAL062W,8.592868038,11.1399152,11.32573989,11.28589246,9.745705944
YAR015W,11.73801471,11.63329515,11.6650935,12.16072404,11.28275094
YBL015W,11.80748685,12.81876977,12.83215362,12.68431261,12.10532733
YBL045C,12.0560611,12.89434603,12.92193573,12.76404092,12.4743055
YBL099W,13.29612143,13.73006705,13.72124332,13.67019304,13.39280192
YBR011C,12.89600481,12.86042875,12.93356882,12.87779378,12.90489502
YBR026C,8.995868926,11.15006165,11.24715713,11.23164657,12.11689245
YBR039W,12.28165592,12.77679792,12.82070268,12.7623026,12.37291445
YBR072W,10.66138894,13.73264023,13.68598136,12.97342637,14.25410133
YBR117C,6.28608521,9.75512237,9.427031762,7.584790163,11.71385878
YBR118W,14.19713229,14.26509178,14.1923723,14.22980342,14.17224132
YBR121C,11.53613566,11.43738936,11.44513283,11.47297992,11.06209921
YBR127C,12.2624925,12.0245856,12.09459288,11.90759957,11.71662243
YBR133C,8.615208596,8.959202105,8.820853157,8.774727851,8.511410474
YBR149W,11.10706062,11.0700701,11.22763845,11.22739221,11.97601052
YBR263W,10.47342698,10.6524105,10.66833804,10.71602825,10.73344633
YCL018W,11.78957549,11.49118825,11.40841517,11.43981313,11.14672814
YCL030C,12.4811777,12.22548379,12.05607351,11.84289504,11.73595827
YCL040W,12.6387789,12.63887927,12.60606753,12.25015796,12.76303546
YCR012W,13.58592929,13.52213069,13.53688545,13.35456081,13.5736372
YDL022W,10.77148539,11.31666425,11.2448189,10.64470031,11.8117058
YDL066W,10.53134383,10.5815236,10.67198086,10.46866904,10.07977666
YDL124W,12.36218415,12.05803557,11.87580124,11.89686982,12.85555135
YDL131W,11.11745333,11.0729781,10.86805891,10.70373955,11.07151912
YDL174C,11.10340826,10.12822776,10.30119757,10.78475444,11.02856768
YDL185W,12.15245222,11.92191297,11.91447984,11.84753164,11.65800651
YDL229W,13.33678525,13.28918217,13.28937676,13.32274242,12.66558651
YDR032C,12.17026616,12.02047189,12.19493632,12.08428323,12.37973253
YDR035W,9.926992278,10.40615463,10.27122083,9.948732324,10.81068971
YDR044W,12.98984615,9.891246269,9.928386929,9.744589384,8.786641497
YDR050C,13.60003383,13.70683403,13.6772478,13.62068389,13.49639544
YDR158W,11.75489075,11.95883587,11.97358281,11.79056967,11.97385778
YDR177W,11.81684344,11.71202509,11.74221473,11.65288161,11.68535339
YDR226W,12.09310217,12.16943392,12.20309137,12.1862226,11.55641928
YDR298C,11.78271476,12.25126548,12.40690423,12.28969917,11.45135257
YDR304C,11.14818069,10.8338471,10.95130346,10.99457596,10.80196193
YDR353W,11.43480724,10.77589627,10.76431725,10.79651059,10.58035387
YDR385W,13.25507672,13.36020244,13.29331477,13.29734727,13.14121856
YDR454C,11.54617206,11.50134371,11.52423039,11.54572808,10.9765084
YDR502C,13.20487475,12.86966234,12.93374939,12.90012748,12.10994417
YEL024W,10.98684428,11.95087599,12.183041,12.07098336,11.52069975
YEL047C,10.04146208,8.393196551,8.3595326,8.465018021,8.397028964
YEL071W,12.07099806,9.42297668,9.212399023,9.322875774,9.062055033
YER015W,8.190102156,8.445532919,8.787683417,9.73268061,10.40007728
YER042W,10.32203898,9.90243236,10.19354505,10.28058834,10.45686555
YER065C,8.004572893,8.818751319,8.735776736,9.238584382,11.1893766
YER091C,13.20936136,13.03797597,13.13042592,13.12128491,12.59339928
YER156C,9.92859376,9.83402891,9.815966446,9.871676028,9.366592608
YER165W,12.34096225,12.35100168,12.40691858,12.3823728,12.18674588
YER177W,12.93870498,12.9105466,12.8850392,12.75851088,12.97657617
YFL018C,12.20992383,12.78637644,12.72254091,12.5991144,12.48943011
YFL030W,9.759498518,12.76880749,12.77344384,12.6013898,12.25805729
YFL037W,11.12533677,10.949987,11.05880452,11.03719758,10.91065421
YFL039C,13.33199179,13.34220752,13.37336003,13.30826375,13.37806674
YFL045C,10.68248041,10.72740828,10.761287,10.77110064,10.57173777
YFR053C,13.71781013,13.49371379,13.5010794,13.37287457,12.85851885
YGL009C,11.04805992,10.86711603,11.05706805,11.22063666,11.09302985
YGL011C,11.43246661,11.13118894,11.24816852,11.22603757,11.16675487
YGL148W,10.84714305,10.72443143,10.60612621,10.53776499,10.6814556
YGL202W,11.09351274,10.98679709,10.97372342,10.99213216,10.76988048
YGL221C,9.702220795,9.81186408,9.872195067,10.00465623,9.954000307
YGR019W,10.1793299,9.896815976,9.855602364,9.545089991,10.20850879
YGR155W,11.35309582,11.62813084,11.67226623,11.58334428,11.19920733
YGR204W,12.43065698,11.84327857,11.73094726,11.82225971,11.47718274
YGR244C,10.77229865,11.46556369,11.54300858,11.63900427,11.59249705
YGR254W,13.32229514,13.47898703,13.4276491,12.94240957,13.71351165
YHL021C,9.338356834,9.05654332,9.278710532,8.753758757,9.021810777
YHR008C,10.7187528,12.7075755,12.70883514,12.29590916,12.64898957
YHR024C,8.490643649,8.376534941,8.526844695,8.495107383,7.645757935
YHR049W,9.194358027,9.538297661,9.284685166,8.475775547,7.367141426
YHR068W,10.55130449,9.571683537,9.620040826,9.616679015,8.848887364
YHR128W,8.840445784,9.05569357,9.517531745,9.763781107,8.587421146
YHR174W,13.77485457,13.44620123,13.44918243,13.40644069,13.71511874
YHR200W,10.57242522,10.59128666,10.52984144,10.47751929,10.71778965
YHR208W,11.82168541,11.78790727,11.86580289,11.76526332,11.63896959
YIL053W,12.19854826,11.34966768,11.15684455,11.31744981,11.34813597
YIL136W,9.465874712,11.58945713,11.52827425,11.10188983,12.7410917
YIL155C,10.31475655,12.80108523,13.10419629,12.84843424,13.05296749
YIL160C,8.447163168,9.729912422,9.619821648,9.722522014,11.59228955
YIR034C,9.962735856,10.11955032,10.06568676,9.970202735,10.50666755
YJL066C,10.17685917,10.87608689,10.712634,10.28352902,10.66164522
YJL153C,10.95362707,12.86708246,12.88703375,12.92217614,12.64043206
YJR045C,11.9601012,12.22870225,12.23641002,11.95290916,12.18402356
