,O2_0.0,O2_0.5,O2_1.0,O2_2.8,O2_20.9
YAL001C,0.082167373,0.090188437,0.093719757,0.132888057,0.263177369
YAL002W,0.0505343,0.129127078,0.095314503,0.066693843,0.1585485
YAL003W,0.089298169,0.154990005,0.024656527,0.05562007,0.187657221
YAL005C,0.19774172,0.090647882,0.093415166,0.4210389,0.082555319
YAL007C,0.079464135,0.090954662,0.08521456,0.184947138,0.209348775
YAL008W,0.13707638,0.180417897,0.090396664,0.486613348,0.349255648
YAL009W,0.03781295,0.078346531,0.03601611,0.130882623,0.115987346
YAL010C,0.12047724,0.173411602,0.063293347,0.181137041,0.161017434
YAL011W,0.048956765,0.054713699,0.047054506,0.204006515,0.209503749
YAL012W,0.083646521,0.102297377,0.028102359,0.223926164,0.474952741
YAL013W,0.154025266,0.093819837,0.097210539,0.17324722,0.08011848
YAL014C,0.065541697,0.17447648,0.055808221,0.113527491,0.222505206
YAL015C,0.168285318,0.051636638,0.072114744,0.067993573,0.097200352
YAL016C-B,0.073568523,0.099044998,0.066830986,0.109306289,0.183118593
YAL016W,0.089448826,0.133441935,0.08348261,0.116315757,0.177834037
YAL017W,0.082921896,0.169477818,0.117231032,0.372088523,0.211051327
YAL018C,0.221429542,0.117859719,0.140440395,0.028943107,0.130347642
YAL019W,0.170521146,0.38627365,0.126561143,0.332623276,0.322927964
YAL020C,0.05643266,0.164499148,0.082877145,0.162255023,0.063552917
YAL021C,0.154823852,0.162155692,0.051364409,0.149824928,0.147752024
YAL022C,0.042800942,0.083825081,0.083632561,0.044223693,0.167104535
YAL023C,0.13120139,0.017113,0.108030385,0.082051146,0.186873041
YAL024C,0.078702317,0.217396749,0.117757131,0.03098959,0.118057623
YAL025C,0.12751656,0.459347277,0.153452629,0.661813531,0.547620267
YAL026C,0.148022512,0.089235863,0.102580298,0.056455682,0.065561402
YAL027W,0.106503158,0.06061506,0.076689575,0.256849921,0.233851783
YAL028W,0.076396767,0.208683697,0.150108284,0.295676211,0.312177735
YAL029C,0.133164386,0.180169287,0.087155103,0.199383309,0.199690887
YAL030W,0.214710024,0.228490434,0.10831482,0.503692711,0.295208904
YAL031C,0.048990172,0.063024962,0.1213111,0.135382024,0.060266101
YAL032C,0.192850941,0.113936116,0.181953626,0.122432857,0.130646025
YAL033W,0.205875554,0.092976035,0.108093851,0.239238042,0.242662807
YAL034C,0.100409451,0.243523732,0.129363943,0.078142608,0.345315098
YAL034W-A,0.114402976,0.116893871,0.122471073,0.055395027,0.090923123
YAL035W,0.023757713,0.099923924,0.096870037,0.194363684,0.260281227
YAL036C,0.033119842,0.230959663,0.114479224,0.275378399,0.396533809
YAL037C-A,0.065253935,0.069897594,0.051609256,0.052480044,0.053749283
YAL037W,0.134201016,0.147904634,0.090777593,0.26098504,0.231072949
YAL038W,0.048431886,0.048475505,0.03867078,0.049284664,0.11591737
YAL039C,0.167334234,0.082934584,0.085395035,0.14372793,0.075515519
YAL040C,0.099081131,0.128921064,0.091766356,0.270735423,0.078623384
YAL041W,0.040578155,0.191672296,0.142446688,0.187567016,0.142381145
YAL042W,0.140556475,0.156298238,0.099764609,0.034635027,0.138927552
YAL043C,0.137217105,0.087058608,0.10723754,0.136893699,0.05837753
YAL044C,0.180396341,0.159918157,0.040147098,0.140557054,0.14977394
YAL044W-A,0.247349949,0.197642939,0.106731572,0.292625112,0.084400113
YAL046C,0.250629273,0.199723631,0.099306974,0.425600147,0.318557248
YAL047C,0.123790366,0.078677939,0.115340544,0.087800678,0.122218057
YAL048C,0.112191625,0.101944993,0.080421509,0.094894833,0.286533903
YAL049C,0.02299472,0.109494858,0.053568263,0.308282135,0.236120723
YAL051W,0.052670743,0.053875848,0.058029835,0.103031208,0.203934888
YAL053W,0.217425676,0.062203176,0.030315537,0.085292901,0.245656712
YAL054C,0.088465513,0.239031471,0.133863479,0.4536128,0.223948409
YAL055W,0.123428116,0.11038079,0.067374843,0.211534729,0.14659461
YAL056W,0.119881414,0.123691934,0.093105508,0.182414236,0.235794669
YAL058W,0.071167317,0.032311735,0.13002044,0.085947688,0.268494195
YAL059W,0.146971016,0.311732389,0.171623415,0.402218554,0.454695323
YAL060W,0.155736908,0.248680373,0.10167294,0.202499426,0.359472182
YAL061W,0.121194539,0.556593401,0.206249708,0.441226865,0.373294352
YAL062W,0.189340077,0.138585525,0.155615185,0.155084093,0.462562064
YAL063C,0.125042797,0.164786757,0.101732118,0.184415402,0.200186329
YAL063C-A,0.06156086,0.111152349,0.142720383,0.07601801,0.117412069
YAL064C-A,0.049118678,0.078543771,0.094466709,0.020474174,0.141690267
YAL064W,0.203172705,0.075090621,0.097306883,0.155050978,0.103440635
YAL064W-B,0.11355219,0.167856322,0.079666185,0.286913215,0.17540696
YAL065C,0.0624249,0.062201719,0.096743766,0.119399515,0.268996612
YAL067C,0.04526415,0.091173583,0.129645433,0.054491487,0.189120883
YAL067W-A,0.120647369,0.1857456,0.053305276,0.113227078,0.119443948
YAL068C,1.029525834,0.110052834,0.379916347,0.080480503,0.251531006
YAR002C-A,0.06325782,0.182622622,0.09820575,0.237438315,0.260180657
YAR002W,0.029075706,0.109678146,0.074846784,0.23856598,0.1967533
YAR003W,0.126112187,0.080713693,0.100410454,0.028868158,0.267760922
YAR007C,0.139316642,0.147007033,0.067935023,0.07221777,0.113099327
YAR008W,0.05414201,0.186424597,0.071251032,0.074591238,0.180513215
YAR009C,0.643515122,0.13657866,0.148202867,0.034378509,0.181403327
YAR010C,0.454726568,0.072344387,0.09557555,0.182103631,0.078830952
YAR014C,0.059411712,0.082070084,0.041631478,0.17291727,0.259000858
YAR015W,0.120804778,0.211846009,0.056158212,0.33358156,0.369880186
YAR018C,0.236994805,0.198200076,0.201067012,0.08471721,0.302684049
YAR019C,0.132849302,0.097352418,0.102888846,0.095968153,0.21335708
YAR020C,1.773440982,0.115187558,0.167385453,0.298388125,1.073566685
YAR023C,0.076736181,0.106747375,0.214063935,0.10578354,0.167355561
YAR027W,0.123326233,0.0786881,0.139343283,0.169382036,0.288150274
YAR028W,0.08494037,0.104302215,0.111132309,0.127125371,0.170128874
YAR029W,0.086973669,0.037644802,0.106859284,0.030883357,0.070318404
YAR031W,0.071857362,0.094695049,0.07333984,0.055058868,0.125775937
YAR033W,0.033361463,0.137878425,0.091310227,0.086342688,0.239004932
YAR035C-A,0.206369743,0.157202841,0.293223145,0.232627405,0.942752216
YAR035W,0.442266308,0.17963908,0.139564165,0.069578477,0.652806291
YAR042W,0.291094987,0.090872364,0.090167909,0.034714971,0.159582096
