,O2_0.0,O2_0.5,O2_1.0,O2_2.8,O2_20.9
YAL003W,0.089298169,0.154990005,0.024656527,0.05562007,0.187657221
YAL012W,0.083646521,0.102297377,0.028102359,0.223926164,0.474952741
YAL054C,0.088465513,0.239031471,0.133863479,0.4536128,0.223948409
YAL062W,0.189340077,0.138585525,0.155615185,0.155084093,0.462562064
YAR015W,0.120804778,0.211846009,0.056158212,0.33358156,0.369880186
YBL015W,0.33105814,0.111694721,0.071696355,0.097482348,0.130725957
YBL045C,0.130655212,0.031026041,0.036108118,0.110396125,0.101110098
YBL099W,0.160434705,0.098577653,0.053337843,0.063750671,0.084797529
YBR011C,0.096912821,0.058049985,0.056055843,0.044003899,0.025166009
YBR026C,0.194466883,0.073046751,0.17022604,0.284412227,0.397518168
YBR039W,0.134531093,0.062053843,0.036188254,0.091723149,0.178022055
YBR072W,0.557836803,0.103586705,0.189735232,0.381966252,0.06230013
YBR117C,0.288734746,0.269880026,0.313976198,0.908881024,0.431900643
YBR118W,0.050003798,0.042356495,0.057749423,0.020120088,0.082173402
YBR121C,0.077919901,0.157960612,0.083567597,0.209711275,0.228807029
YBR127C,0.125999569,0.087739987,0.043442767,0.120095859,0.169640298
YBR133C,0.068120998,0.013775705,0.065913949,0.137447985,0.144594797
YBR149W,0.07894664,0.194393465,0.077436952,0.322637759,0.308138325
YBR263W,0.081232801,0.060338917,0.078529786,0.028899009,0.032531337
YCL018W,0.09582562,0.104982379,0.076440387,0.03854624,0.25011395
YCL030C,0.067876904,0.058800558,0.047327126,0.163985763,0.512843039
YCL040W,0.178581162,0.191903684,0.105890505,0.216422749,0.290204177
YCR012W,0.113156685,0.122581893,0.040403899,0.166290812,0.163382696
YDL022W,0.188507296,0.297154319,0.154347406,0.514190283,0.217710824
YDL066W,0.211751303,0.243487572,0.103936955,0.16460667,0.109153034
YDL124W,0.092700742,0.167073822,0.086498154,0.287186864,0.06994465
YDL131W,0.125032497,0.174346246,0.115887833,0.200428589,0.332094896
YDL174C,0.155965433,0.248378122,0.168014242,0.201014533,0.221967266
YDL185W,0.123430151,0.066361364,0.083186951,0.099697775,0.100720906
YDL229W,0.087955622,0.113964408,0.038128038,0.248353984,0.694552314
YDR032C,0.080945065,0.098368314,0.055179627,0.306276884,0.263442305
YDR035W,0.088311795,0.072018174,0.056357609,0.137136288,0.616445869
YDR044W,0.166457056,0.089647492,0.062171808,0.113466155,0.160388891
YDR050C,0.06945584,0.031405292,0.027100791,0.133126512,0.097297077
YDR158W,0.119310192,0.085303359,0.077528476,0.09038397,0.456946701
YDR177W,0.11622481,0.058326335,0.066224433,0.036727643,0.066097659
YDR226W,0.04131711,0.055083591,0.050039919,0.090443812,0.215419249
YDR298C,0.164569344,0.032888086,0.048022645,0.167458017,0.312434042
YDR304C,0.038765343,0.092267052,0.039567517,0.134475195,0.229657699
YDR353W,0.040986769,0.036687527,0.075075643,0.163534918,0.34719929
YDR385W,0.128919602,0.08090514,0.062910431,0.12147067,0.198197382
YDR454C,0.028097271,0.048133811,0.06442727,0.1012142,0.352741084
YDR502C,0.061501789,0.091576493,0.017702556,0.085715988,0.406691172
YEL024W,0.031086362,0.06130984,0.088841562,0.019323735,0.182420686
YEL047C,0.107200031,0.107679004,0.064259428,0.081854702,0.251761274
YEL071W,0.213464337,0.175408285,0.0515558,0.421044119,0.260185933
YER015W,0.169620928,0.148384751,0.150713371,0.233929075,0.489252943
YER042W,0.101341525,0.109167185,0.152895664,0.439187917,0.359932933
YER065C,0.749897604,0.520110282,0.213933695,0.219917168,0.470008538
YER091C,0.076798616,0.080361977,0.057957403,0.1760411,0.41616097
YER156C,0.122096885,0.088452219,0.059893714,0.227282612,0.277194602
YER165W,0.095301277,0.023256275,0.038737297,0.201799203,0.221477452
YER177W,0.061315236,0.055059305,0.024857798,0.08944577,0.110527338
YFL018C,0.134545448,0.047148172,0.068097745,0.028506757,0.095060505
YFL030W,0.166095746,0.055081879,0.073087381,0.164366061,0.150311948
YFL037W,0.052527851,0.049007368,0.071141048,0.067316833,0.15122918
YFL039C,0.071926165,0.032915311,0.04174129,0.039303236,0.013383196
YFL045C,0.064479016,0.057455276,0.040990716,0.054055928,0.075381267
YFR053C,0.115412064,0.058338891,0.059453738,0.101934496,0.167923394
YGL009C,0.133286306,0.1896426,0.069598566,0.166742476,0.142912101
YGL011C,0.061906059,0.013976116,0.113199242,0.169812401,0.255448642
YGL148W,0.136772025,0.076864079,0.029653586,0.232444352,0.462829635
YGL202W,0.109600281,0.077287711,0.095443018,0.202475129,0.405017096
YGL221C,0.03333512,0.043427671,0.088285915,0.146839603,0.200566801
YGR019W,0.142693533,0.095793799,0.070762102,0.272302403,0.222274577
YGR155W,0.063492473,0.163558047,0.06950583,0.177567866,0.138207649
YGR204W,0.100190658,0.144205347,0.071323534,0.317789048,0.315393533
YGR244C,0.112488266,0.130427046,0.066111252,0.161946811,0.238883396
YGR254W,0.158517584,0.080566962,0.051957536,0.174764109,0.189828372
YHL021C,0.165170954,0.363201609,0.072493348,0.39496655,0.239155749
YHR008C,0.191922428,0.132675766,0.071666076,0.17314836,0.065727484
YHR024C,0.172846965,0.097797754,0.079391102,0.073414995,0.107389499
YHR049W,0.406471047,0.15426987,0.149955969,0.332527181,1.077549158
YHR068W,0.054691663,0.195860829,0.07911601,0.225869348,0.361915742
YHR128W,0.169850043,0.245265022,0.138948977,0.360567012,0.341321717
YHR174W,0.04454283,0.051338764,0.049557264,0.086092719,0.104897876
YHR200W,0.065709092,0.125314834,0.075108443,0.116425481,0.080346568
YHR208W,0.099748533,0.157176959,0.067949017,0.338608091,0.394782909
YIL053W,0.065454451,0.18606259,0.164487238,0.357782311,0.617070711
YIL136W,0.109172211,0.261984444,0.126578693,0.61318271,0.32689408
YIL155C,0.290819179,0.168454092,0.069818176,0.151748457,0.205558533
YIL160C,0.133060529,0.323538151,0.22477117,0.652247776,0.431037932
YIR034C,0.064344921,0.218262961,0.081494135,0.225002467,0.477000454
YJL066C,0.150794009,0.105629803,0.076635604,0.270592092,0.159418247
YJL153C,0.431693021,0.139065702,0.044177812,0.135027716,0.636106657
YJR045C,0.18034257,0.071840725,0.044831543,0.118603124,0.129464436
YJR056C,0.082167725,0.153750861,0.130919794,0.516349009,0.134558776
YJR105W,0.031111431,0.087084164,0.038755788,0.107018384,0.16166004
YJR121W,0.274724489,0.062274068,0.032048244,0.188164365,0.097333594
YJR123W,0.093490208,0.116873026,0.043809994,0.08347558,0.133501007
YKL016C,0.091739481,0.060059543,0.059482978,0.15662603,0.195168884
YKL029C,0.15684294,0.355059675,0.130209831,0.640617519,0.758985166
YKL056C,0.071188216,0.09948134,0.031966761,0.117217589,0.315946327
YKL060C,0.117039384,0.031103968,0.05817313,0.080497354,0.067591581
YKL142W,0.214142855,0.082579607,0.078000202,0.308872888,0.23474039
YKL148C,0.099341564,0.024789441,0.023247356,0.055909081,0.181145302
YKL150W,0.146295913,0.102138144,0.060633304,0.21464216,0.165755148
YKL152C,0.033242733,0.030291069,0.032677065,0.135440143,0.022951902
YLL026W,0.298354545,0.167462203,0.121261811,0.50245692,0.20754445
YLR017W,0.067857019,0.082778271,0.076421482,0.211679484,0.300510093
YLR044C,0.070600988,0.051724775,0.074892126,0.057356305,0.155567105
YLR174W,0.503519241,0.317056545,0.121026009,0.587669909,0.214434797
YLR178C,0.333213074,0.434414067,0.171890061,0.881003608,0.189615747
YLR192C,0.11862578,0.065522853,0.074615467,0.076580475,0.117044926
YLR215C,0.083757305,0.144389609,0.074031762,0.169492624,0.341531023
YLR293C,0.054105231,0.155933756,0.059727221,0.11988855,0.220903336
YLR303W,0.050221951,0.092106285,0.034571518,0.063544863,0.0787612
YLR304C,0.069153138,0.040993573,0.043125291,0.091802094,0.170970076
YLR355C,0.101851122,0.08604425,0.056499445,0.227603379,0.153565315
YLR438W,0.151424415,0.253682482,0.069547095,0.321256878,0.122499649
YML008C,0.1575705,0.05512093,0.066254026,0.065793411,0.175410794
YML028W,0.040528334,0.076196649,0.069749429,0.146127659,0.010177412
YML054C,0.289359234,0.385074431,0.107998389,0.117551459,0.449221312
YML070W,0.07665232,0.112142136,0.04354984,0.17508658,0.14304954
YML126C,0.180158513,0.052061317,0.048090124,0.101361863,0.262611648
YMR083W,0.075715577,0.030484692,0.077068147,0.074873439,0.098071626
YMR095C,0.095893331,0.060433603,0.144480944,0.137568162,0.887630163
YMR108W,0.128989127,0.127879811,0.057108794,0.225955545,0.379856061
YMR116C,0.029000164,0.185047619,0.091146741,0.159186125,0.330997339
YMR120C,0.097680669,0.141100524,0.049666827,0.21980927,0.575059525
YMR169C,0.081840889,0.256345506,0.191054221,0.484439,0.318654173
YMR203W,0.085350981,0.063084795,0.057553729,0.055058974,0.11779133
YMR217W,0.079775002,0.277998146,0.06932951,0.370531469,0.887675927
YMR220W,0.449801061,0.087658014,0.063000026,0.138315168,0.056618505
YMR226C,0.116621216,0.118772604,0.029765717,0.254851256,0.193256385
YMR303C,1.600017988,0.534544841,0.110521035,0.255993418,0.07881439
YNL007C,0.210077561,0.194477686,0.118163795,0.21093536,0.162486021
YNL037C,0.072987084,0.119883016,0.044165476,0.030991336,0.260430162
YNL055C,0.087956144,0.084443731,0.040993578,0.109472867,0.094552786
YNL117W,1.259196549,0.558150541,0.198022494,0.233384766,0.39663408
YNR001C,0.125977366,0.083729803,0.066944222,0.038763075,0.102778768
YNR050C,0.0690768,0.218113869,0.089352977,0.027182636,0.621084939
YOL058W,0.116103121,0.114705954,0.03698309,0.276711887,0.713902029
YOL086C,0.06857705,0.015192849,0.049002771,0.065416517,0.225970251
YOL126C,0.132916456,0.389320322,0.061664206,0.502313242,0.362075195
YOR007C,0.130719768,0.016079824,0.120807695,0.209620555,0.236469913
YOR027W,0.168034026,0.11663426,0.147787713,0.2656228,0.252702412
YOR095C,0.073773568,0.392152325,0.160832641,0.329856751,0.321222151
YOR120W,0.20356807,0.203291309,0.081870794,0.398039133,0.275387596
YOR136W,0.1162526,0.094039953,0.030725752,0.085715831,0.266066863
YOR142W,0.068293276,0.042992655,0.085983742,0.120548513,0.143401552
YOR184W,0.095901973,0.078114706,0.071611701,0.254730463,0.140243819
YOR187W,0.095594173,0.063219465,0.053077475,0.053212568,0.189933826
YOR204W,0.457000139,0.420091881,0.161084549,0.306399659,0.374738617
YOR230W,0.085802267,0.065682683,0.028895596,0.256215507,0.152349634
YOR374W,0.14673143,0.08515542,0.045304138,0.072018414,0.044178783
YOR375C,0.055743655,0.137623987,0.085727909,0.119602869,0.564214407
YOR388C,0.742269354,0.422565261,0.326402927,0.436724988,0.291818664
YPL061W,0.211329802,0.069597883,0.06919193,0.165709509,0.038731507
YPL106C,0.147737969,0.087535557,0.093174352,0.043184509,0.107568392
YPL145C,0.137046735,0.035168533,0.055114368,0.157816059,0.192006188
YPL262W,0.076809001,0.068043461,0.046245836,0.072381835,0.099381137
YPR002W,0.179381659,0.089352088,0.094257683,0.131048509,0.404141643
YPR033C,0.130361006,0.123526794,0.049602861,0.215883836,0.27663462
YPR110C,0.07383978,0.266076477,0.112693875,0.456416211,0.401512053
YPR145W,0.153359415,0.216016188,0.068825035,0.316032678,0.698069637
YPR163C,0.172233489,0.184457609,0.066358645,0.286788309,0.282167339
YPR191W,0.088689284,0.051063312,0.040325661,0.071188936,0.144958896
